ifs,code,country,imf_region,imf_income,year,FD,FI,FM,FID,FIA,FIE,FMD,FMA,FME
314,ABW,Aruba,Western Hemisphere,EM,1993,0.27,0.53,0.00,0.19,0.70,0.59,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1992,0.30,0.58,0.00,0.23,0.76,0.64,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1991,0.31,0.62,0.00,0.25,0.79,0.68,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1990,0.32,0.63,0.00,0.27,0.81,0.69,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1989,0.33,0.64,0.00,0.28,0.82,0.70,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1988,0.34,0.66,0.00,0.29,0.84,0.72,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1987,0.33,0.64,0.00,0.28,0.82,0.70,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1986,0.29,0.57,0.00,0.21,0.75,0.65,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1984,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1982,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1981,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1980,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,2018,0.14,0.25,0.03,0.05,0.19,0.54,0.07,0.00,0.00
614,AGO,Angola,Africa,EM,2017,0.15,0.27,0.03,0.05,0.20,0.61,0.07,0.00,0.00
614,AGO,Angola,Africa,EM,2016,0.16,0.27,0.04,0.06,0.20,0.57,0.10,0.01,0.00
614,AGO,Angola,Africa,EM,2015,0.15,0.26,0.03,0.07,0.20,0.51,0.08,0.01,0.00
614,AGO,Angola,Africa,EM,2014,0.14,0.25,0.03,0.06,0.20,0.50,0.06,0.01,0.00
614,AGO,Angola,Africa,EM,2013,0.15,0.27,0.02,0.06,0.19,0.58,0.05,0.01,0.00
614,AGO,Angola,Africa,EM,2012,0.14,0.25,0.02,0.06,0.17,0.56,0.04,0.01,0.00
614,AGO,Angola,Africa,EM,2011,0.14,0.26,0.02,0.06,0.15,0.60,0.06,0.01,0.00
614,AGO,Angola,Africa,EM,2010,0.16,0.28,0.03,0.07,0.13,0.68,0.08,0.01,0.00
614,AGO,Angola,Africa,EM,2009,0.16,0.27,0.04,0.07,0.10,0.70,0.11,0.01,0.00
614,AGO,Angola,Africa,EM,2008,0.15,0.27,0.03,0.04,0.08,0.76,0.08,0.01,0.00
614,AGO,Angola,Africa,EM,2007,0.14,0.23,0.04,0.05,0.06,0.64,0.10,0.01,0.00
614,AGO,Angola,Africa,EM,2006,0.12,0.19,0.05,0.05,0.05,0.53,0.12,0.01,0.00
614,AGO,Angola,Africa,EM,2005,0.11,0.16,0.06,0.06,0.03,0.43,0.16,0.01,0.00
614,AGO,Angola,Africa,EM,2004,0.12,0.16,0.07,0.07,0.02,0.43,0.18,0.01,0.00
614,AGO,Angola,Africa,EM,2003,0.11,0.16,0.06,0.08,0.02,0.42,0.16,0.01,0.00
614,AGO,Angola,Africa,EM,2002,0.11,0.16,0.06,0.06,0.02,0.45,0.15,0.01,0.00
614,AGO,Angola,Africa,EM,2001,0.11,0.15,0.06,0.04,0.02,0.45,0.16,0.01,0.00
614,AGO,Angola,Africa,EM,2000,0.11,0.17,0.06,0.04,0.02,0.50,0.15,0.01,0.00
614,AGO,Angola,Africa,EM,1999,0.13,0.15,0.10,0.04,0.02,0.44,0.25,0.01,0.00
614,AGO,Angola,Africa,EM,1998,0.20,0.30,0.09,0.28,0.02,0.63,0.23,0.01,0.00
614,AGO,Angola,Africa,EM,1997,0.19,0.32,0.06,0.28,0.02,0.69,0.16,0.01,0.00
614,AGO,Angola,Africa,EM,1996,0.17,0.30,0.04,0.26,0.02,0.66,0.10,0.01,0.00
614,AGO,Angola,Africa,EM,1995,0.17,0.30,0.03,0.27,0.02,0.63,0.09,0.01,0.00
614,AGO,Angola,Africa,EM,1994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1987,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1986,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1984,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1982,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1981,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
614,AGO,Angola,Africa,EM,1980,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,2018,0.19,0.37,0.01,0.13,0.36,0.63,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,2017,0.20,0.39,0.00,0.13,0.38,0.66,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2016,0.20,0.39,0.00,0.13,0.40,0.61,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2015,0.20,0.39,0.01,0.13,0.41,0.61,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2014,0.21,0.41,0.00,0.13,0.41,0.66,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2013,0.21,0.41,0.00,0.12,0.43,0.66,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2012,0.21,0.40,0.00,0.11,0.43,0.66,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2011,0.21,0.40,0.00,0.10,0.43,0.66,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2010,0.21,0.40,0.00,0.10,0.43,0.66,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2009,0.20,0.39,0.00,0.10,0.42,0.63,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2008,0.20,0.39,0.00,0.09,0.40,0.69,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2007,0.17,0.33,0.00,0.08,0.30,0.62,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2006,0.15,0.29,0.00,0.06,0.22,0.62,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2005,0.14,0.27,0.00,0.05,0.17,0.63,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2004,0.13,0.25,0.00,0.04,0.13,0.62,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2003,0.13,0.24,0.00,0.04,0.12,0.62,0.01,0.00,0.00
914,ALB,Albania,Europe,EM,2002,0.13,0.24,0.01,0.04,0.12,0.62,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,2001,0.12,0.22,0.01,0.03,0.11,0.58,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,2000,0.11,0.20,0.01,0.02,0.10,0.55,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,1999,0.11,0.21,0.01,0.02,0.10,0.55,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,1998,0.11,0.21,0.01,0.02,0.10,0.56,0.03,0.00,0.00
914,ALB,Albania,Europe,EM,1997,0.13,0.24,0.01,0.02,0.10,0.68,0.03,0.00,0.00
914,ALB,Albania,Europe,EM,1996,0.11,0.22,0.01,0.02,0.07,0.62,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,1995,0.13,0.25,0.01,0.02,0.09,0.71,0.02,0.00,0.00
914,ALB,Albania,Europe,EM,1994,0.13,0.25,0.01,0.02,0.09,0.73,0.03,0.00,0.00
914,ALB,Albania,Europe,EM,1993,0.15,0.28,0.01,0.02,0.13,0.78,0.04,0.00,0.00
914,ALB,Albania,Europe,EM,1992,0.16,0.29,0.01,0.03,0.14,0.78,0.04,0.00,0.00
914,ALB,Albania,Europe,EM,1991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1987,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1986,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1984,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1982,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1981,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
914,ALB,Albania,Europe,EM,1980,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2018,0.49,0.40,0.56,0.22,0.41,0.51,0.54,1.00,0.13
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2017,0.50,0.40,0.58,0.22,0.42,0.50,0.59,0.93,0.22
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2016,0.46,0.38,0.53,0.23,0.44,0.40,0.60,0.69,0.26
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2015,0.49,0.41,0.54,0.22,0.44,0.52,0.57,0.70,0.33
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2014,0.56,0.40,0.71,0.18,0.42,0.54,0.62,0.72,0.80
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2013,0.49,0.39,0.56,0.17,0.41,0.56,0.54,0.73,0.41
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2012,0.42,0.39,0.44,0.17,0.39,0.58,0.40,0.70,0.21
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2011,0.41,0.39,0.41,0.18,0.38,0.58,0.41,0.63,0.19
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2010,0.44,0.39,0.46,0.20,0.36,0.58,0.50,0.62,0.25
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2009,0.53,0.41,0.62,0.23,0.37,0.60,0.62,0.67,0.57
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2008,0.52,0.37,0.65,0.18,0.32,0.61,0.51,0.65,0.79
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2007,0.48,0.36,0.59,0.16,0.32,0.61,0.54,0.76,0.45
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2006,0.43,0.35,0.48,0.13,0.32,0.61,0.40,0.70,0.36
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2005,0.39,0.37,0.40,0.13,0.34,0.64,0.30,0.62,0.28
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2004,0.35,0.32,0.37,0.11,0.25,0.62,0.25,0.59,0.27
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2003,0.30,0.34,0.25,0.11,0.29,0.62,0.21,0.31,0.22
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2002,0.29,0.33,0.23,0.11,0.28,0.61,0.18,0.32,0.20
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2001,0.28,0.32,0.22,0.10,0.27,0.60,0.17,0.31,0.19
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,2000,0.27,0.32,0.22,0.09,0.27,0.61,0.14,0.35,0.16
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1999,0.28,0.34,0.21,0.11,0.30,0.61,0.13,0.34,0.15
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1998,0.26,0.33,0.18,0.11,0.28,0.62,0.13,0.27,0.15
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1997,0.25,0.34,0.15,0.10,0.28,0.64,0.10,0.21,0.13
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1996,0.23,0.34,0.13,0.09,0.28,0.65,0.07,0.21,0.10
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1995,0.23,0.34,0.12,0.10,0.29,0.63,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1994,0.23,0.35,0.11,0.10,0.31,0.64,0.06,0.17,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1993,0.23,0.35,0.11,0.10,0.31,0.66,0.06,0.17,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1992,0.21,0.30,0.11,0.09,0.25,0.60,0.06,0.17,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1991,0.22,0.32,0.11,0.09,0.28,0.60,0.06,0.18,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1990,0.19,0.26,0.11,0.08,0.22,0.51,0.06,0.18,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1989,0.22,0.32,0.11,0.10,0.28,0.59,0.06,0.19,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1988,0.23,0.34,0.11,0.11,0.29,0.61,0.06,0.19,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1987,0.22,0.32,0.11,0.10,0.27,0.59,0.06,0.19,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1986,0.23,0.32,0.12,0.10,0.28,0.60,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1985,0.19,0.26,0.12,0.08,0.21,0.53,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1984,0.19,0.26,0.12,0.07,0.20,0.52,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1983,0.19,0.26,0.12,0.07,0.20,0.52,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1982,0.18,0.23,0.12,0.06,0.17,0.48,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1981,0.17,0.21,0.12,0.06,0.15,0.44,0.06,0.21,0.09
466,ARE,United Arab Emirates,Middle East and Central Asia,EM,1980,0.18,0.20,0.15,0.05,0.14,0.41,0.08,0.27,0.12
213,ARG,Argentina,Western Hemisphere,EM,2018,0.33,0.39,0.25,0.19,0.42,0.50,0.08,0.58,0.12
213,ARG,Argentina,Western Hemisphere,EM,2017,0.34,0.40,0.26,0.20,0.39,0.57,0.09,0.65,0.06
213,ARG,Argentina,Western Hemisphere,EM,2016,0.32,0.40,0.23,0.19,0.38,0.61,0.07,0.56,0.06
213,ARG,Argentina,Western Hemisphere,EM,2015,0.30,0.41,0.19,0.19,0.37,0.65,0.05,0.47,0.06
213,ARG,Argentina,Western Hemisphere,EM,2014,0.32,0.40,0.22,0.18,0.36,0.65,0.06,0.54,0.07
213,ARG,Argentina,Western Hemisphere,EM,2013,0.31,0.39,0.22,0.18,0.35,0.63,0.06,0.57,0.05
213,ARG,Argentina,Western Hemisphere,EM,2012,0.29,0.37,0.20,0.17,0.31,0.64,0.05,0.51,0.05
213,ARG,Argentina,Western Hemisphere,EM,2011,0.29,0.36,0.21,0.16,0.27,0.65,0.06,0.53,0.07
213,ARG,Argentina,Western Hemisphere,EM,2010,0.28,0.34,0.21,0.15,0.24,0.63,0.09,0.52,0.05
213,ARG,Argentina,Western Hemisphere,EM,2009,0.32,0.31,0.31,0.16,0.21,0.58,0.10,0.82,0.04
213,ARG,Argentina,Western Hemisphere,EM,2008,0.34,0.28,0.39,0.15,0.19,0.51,0.09,1.00,0.10
213,ARG,Argentina,Western Hemisphere,EM,2007,0.35,0.29,0.38,0.16,0.17,0.56,0.14,0.93,0.10
213,ARG,Argentina,Western Hemisphere,EM,2006,0.34,0.30,0.37,0.17,0.16,0.58,0.14,0.92,0.08
213,ARG,Argentina,Western Hemisphere,EM,2005,0.32,0.29,0.34,0.17,0.16,0.56,0.14,0.78,0.13
213,ARG,Argentina,Western Hemisphere,EM,2004,0.29,0.27,0.31,0.16,0.16,0.49,0.15,0.66,0.13
213,ARG,Argentina,Western Hemisphere,EM,2003,0.28,0.28,0.26,0.16,0.16,0.54,0.17,0.51,0.10
213,ARG,Argentina,Western Hemisphere,EM,2002,0.28,0.29,0.26,0.20,0.16,0.49,0.19,0.50,0.08
213,ARG,Argentina,Western Hemisphere,EM,2001,0.25,0.20,0.28,0.17,0.16,0.24,0.12,0.51,0.24
213,ARG,Argentina,Western Hemisphere,EM,2000,0.30,0.31,0.29,0.17,0.16,0.61,0.13,0.52,0.24
213,ARG,Argentina,Western Hemisphere,EM,1999,0.30,0.28,0.30,0.16,0.15,0.57,0.14,0.52,0.25
213,ARG,Argentina,Western Hemisphere,EM,1998,0.37,0.27,0.45,0.14,0.13,0.56,0.14,0.55,0.69
213,ARG,Argentina,Western Hemisphere,EM,1997,0.38,0.27,0.48,0.12,0.13,0.58,0.16,0.57,0.77
213,ARG,Argentina,Western Hemisphere,EM,1996,0.38,0.25,0.49,0.11,0.11,0.55,0.13,0.56,0.84
213,ARG,Argentina,Western Hemisphere,EM,1995,0.38,0.22,0.53,0.13,0.12,0.43,0.12,0.52,1.00
213,ARG,Argentina,Western Hemisphere,EM,1994,0.40,0.22,0.58,0.13,0.11,0.44,0.24,0.53,1.00
213,ARG,Argentina,Western Hemisphere,EM,1993,0.39,0.21,0.56,0.12,0.10,0.43,0.17,0.56,1.00
213,ARG,Argentina,Western Hemisphere,EM,1992,0.37,0.21,0.51,0.11,0.09,0.47,0.07,0.51,1.00
213,ARG,Argentina,Western Hemisphere,EM,1991,0.25,0.21,0.27,0.11,0.09,0.47,0.06,0.50,0.29
213,ARG,Argentina,Western Hemisphere,EM,1990,0.25,0.25,0.24,0.16,0.10,0.51,0.03,0.46,0.26
213,ARG,Argentina,Western Hemisphere,EM,1989,0.23,0.27,0.19,0.21,0.10,0.51,0.03,0.41,0.15
213,ARG,Argentina,Western Hemisphere,EM,1988,0.33,0.16,0.48,0.10,0.05,0.36,0.04,0.46,1.00
213,ARG,Argentina,Western Hemisphere,EM,1987,0.19,0.17,0.20,0.11,0.05,0.37,0.03,0.46,0.12
213,ARG,Argentina,Western Hemisphere,EM,1986,0.19,0.14,0.23,0.09,0.04,0.30,0.03,0.50,0.18
213,ARG,Argentina,Western Hemisphere,EM,1985,0.20,0.14,0.26,0.09,0.04,0.31,0.03,0.50,0.28
213,ARG,Argentina,Western Hemisphere,EM,1984,0.22,0.21,0.21,0.13,0.06,0.47,0.02,0.39,0.26
213,ARG,Argentina,Western Hemisphere,EM,1983,0.19,0.22,0.15,0.14,0.07,0.50,0.02,0.30,0.15
213,ARG,Argentina,Western Hemisphere,EM,1982,0.23,0.26,0.20,0.16,0.08,0.56,0.02,0.31,0.30
213,ARG,Argentina,Western Hemisphere,EM,1981,0.19,0.25,0.14,0.15,0.08,0.54,0.02,0.25,0.16
213,ARG,Argentina,Western Hemisphere,EM,1980,0.20,0.20,0.19,0.11,0.05,0.47,0.03,0.23,0.34
911,ARM,Armenia,Middle East and Central Asia,EM,2018,0.26,0.47,0.03,0.11,0.56,0.70,0.03,0.07,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2017,0.24,0.46,0.02,0.11,0.55,0.67,0.03,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2016,0.24,0.44,0.02,0.10,0.54,0.66,0.03,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2015,0.23,0.44,0.03,0.09,0.54,0.64,0.04,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2014,0.23,0.43,0.02,0.10,0.53,0.63,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2013,0.22,0.41,0.02,0.08,0.49,0.64,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2012,0.21,0.40,0.02,0.08,0.47,0.63,0.02,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2011,0.20,0.37,0.02,0.07,0.42,0.59,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2010,0.18,0.34,0.02,0.06,0.36,0.58,0.02,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2009,0.17,0.32,0.02,0.05,0.34,0.56,0.02,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2008,0.15,0.29,0.02,0.04,0.30,0.52,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2007,0.14,0.26,0.01,0.03,0.24,0.51,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2006,0.13,0.24,0.01,0.02,0.19,0.54,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2005,0.11,0.20,0.01,0.02,0.16,0.45,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2004,0.12,0.21,0.01,0.02,0.14,0.53,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2003,0.12,0.22,0.02,0.01,0.15,0.53,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2002,0.13,0.24,0.02,0.02,0.17,0.59,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2001,0.11,0.20,0.02,0.02,0.16,0.45,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,2000,0.11,0.19,0.02,0.03,0.17,0.39,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1999,0.10,0.18,0.02,0.02,0.15,0.40,0.01,0.04,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1998,0.09,0.17,0.01,0.02,0.14,0.36,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1997,0.09,0.16,0.01,0.02,0.12,0.36,0.01,0.03,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1996,0.09,0.16,0.01,0.01,0.11,0.39,0.01,0.02,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1995,0.08,0.15,0.01,0.02,0.11,0.35,0.01,0.02,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1994,0.08,0.16,0.01,0.03,0.11,0.35,0.01,0.02,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1993,0.07,0.14,0.01,0.02,0.09,0.32,0.01,0.02,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
911,ARM,Armenia,Middle East and Central Asia,EM,1988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
